=============hapoel-ashkelon=================
06/05/17, LigaH,6, Hapoel Tel-Aviv, Hapoel Ashkelon, ?, ?
29/04/17, LigaH,5, Hapoel Kfar Sab, Hapoel Ashkelon, 3, 8
22/04/17, LigaH,4, Hapoel Ashkelon, Bnei Yehuda T., 2, 2
08/04/17, LigaH,3, Hapoel Raanana, Hapoel Ashkelon, 9, 4
03/04/17, LigaH,2, Hapoel Ashkelon, MS Ashdod, 3, 1
18/03/17, LigaH,1, Hapoel Haifa, Hapoel Ashkelon, 6, 6
12/03/17, LigaH,26, Bnei Yehuda T., Hapoel Ashkelon, 4, 5
05/03/17, LigaH,25, Hapoel Ashkelon, Maccabi Tel Avi, 3, 8
25/02/17, LigaH,24, Hapoel Ashkelon, Hapoel Kiryat S, 1, 14
19/02/17, LigaH,23, Hapoel Ashkelon, Maccabi Petach, 0, 8
11/02/17, LigaH,22, Hapoel Beer She, Hapoel Ashkelon, 8, 2
06/02/17, LigaH,21, Hapoel Ashkelon, Maccabi Haifa, 6, 7
29/01/17, LigaH,20, Bnei Sakhnin, Hapoel Ashkelon, 9, 1
25/01/17, StCup,, Hapoel Ashkelon, Bnei Yehuda T., 6, 1
21/01/17, LigaH,19, Hapoel Ashkelon, Hapoel Tel-Aviv, 4, 5
14/01/17, LigaH,18, Hapoel Raanana, Hapoel Ashkelon, 4, 4
10/01/17, LigaH,17, Hapoel Ashkelon, Beitar Jerusale, 4, 12
05/01/17, StCup,, Hapoel Ashkelon, Maccabi Kabilio, 4, 0
01/01/17, LigaH,16, MS Ashdod, Hapoel Ashkelon, 6, 4
24/12/16, LigaH,15, Hapoel Ashkelon, Hapoel Kfar Sab, 5, 4
18/12/16, LigaH,14, Hapoel Haifa, Hapoel Ashkelon, 5, 4
10/12/16, LigaH,13, Hapoel Ashkelon, Bnei Yehuda T., 5, 10
03/12/16, LigaH,12, Maccabi Tel Avi, Hapoel Ashkelon, 10, 1
26/11/16, LigaH,11, Hapoel Kiryat S, Hapoel Ashkelon, 4, 4
19/11/16, LigaH,10, Maccabi Petach, Hapoel Ashkelon, 6, 1
06/11/16, LigaH,9, Hapoel Ashkelon, Hapoel Beer She, 0, 4
29/10/16, LigaH,8, Maccabi Haifa, Hapoel Ashkelon, 4, 5
22/10/16, LigaH,7, Hapoel Ashkelon, Bnei Sakhnin, 5, 5
01/10/16, LigaH,6, Hapoel Tel-Aviv, Hapoel Ashkelon, 9, 5
24/09/16, LigaH,5, Hapoel Ashkelon, Hapoel Raanana, 3, 5
17/09/16, LigaH,4, Beitar Jerusale, Hapoel Ashkelon, 7, 0
11/09/16, LigaH,3, Hapoel Ashkelon, MS Ashdod, 5, 4
29/08/16, LigaH,2, Hapoel Kfar Sab, Hapoel Ashkelon, 3, 1
20/08/16, LigaH,1, Hapoel Ashkelon, Hapoel Haifa, 6, 3
10/08/16, TotoCup,3, Hapoel Ashkelon, Beitar Jerusale, 2, 6
30/07/16, TotoCup,1, Hapoel Ashkelon, Hapoel Beer She, 1, 10
01/03/16, StCup,, Hapoel Ashkelon, Bnei Sakhnin, 9, 0
10/02/16, StCup,, Bnei Sakhnin, Hapoel Ashkelon, 6, 5
27/01/15, StCup,, Maccabi Tel Avi, Hapoel Ashkelon, 11, 3
15/01/15, StCup,, Hapoel Ashkelon, Beitar Jerusale, ?, ?
=============hapoel-tel-aviv=================
06/05/17, LigaH,6, Hapoel Tel-Aviv, Hapoel Ashkelon, ?, ?
29/04/17, LigaH,5, MS Ashdod, Hapoel Tel-Aviv, 3, 6
24/04/17, LigaH,4, Hapoel Tel-Aviv, Hapoel Kfar Sab, 3, 4
08/04/17, LigaH,3, Hapoel Haifa, Hapoel Tel-Aviv, 5, 3
01/04/17, LigaH,2, Hapoel Tel-Aviv, Bnei Yehuda T., 5, 7
18/03/17, LigaH,1, Hapoel Kiryat S, Hapoel Tel-Aviv, 6, 2
11/03/17, LigaH,26, Bnei Sakhnin, Hapoel Tel-Aviv, 2, 3
04/03/17, LigaH,25, Hapoel Tel-Aviv, Bnei Yehuda T., 10, 2
25/02/17, LigaH,24, Hapoel Tel-Aviv, Hapoel Raanana, 7, 4
20/02/17, LigaH,23, Hapoel Tel-Aviv, Beitar Jerusale, 6, 6
12/02/17, LigaH,22, Hapoel Tel-Aviv, MS Ashdod, 2, 5
05/02/17, LigaH,21, Hapoel Kfar Sab, Hapoel Tel-Aviv, 4, 6
29/01/17, LigaH,20, Hapoel Tel-Aviv, Hapoel Haifa, 4, 3
24/01/17, StCup,, Hapoel Tel-Aviv, Maccabi Petach, 2, 3
21/01/17, LigaH,19, Hapoel Ashkelon, Hapoel Tel-Aviv, 4, 5
16/01/17, LigaH,18, Hapoel Tel-Aviv, Maccabi Tel Avi, 0, 4
12/01/17, LigaH,17, Hapoel Kiryat S, Hapoel Tel-Aviv, 2, 4
08/01/17, StCup,, Hapoel Tel-Aviv, Ironi Nir Ramat, 7, 8
31/12/16, LigaH,16, Hapoel Tel-Aviv, Maccabi Petach, 5, 1
25/12/16, LigaH,15, Hapoel Beer She, Hapoel Tel-Aviv, 7, 1
19/12/16, LigaH,14, Hapoel Tel-Aviv, Maccabi Haifa, 6, 5
10/12/16, LigaH,13, Hapoel Tel-Aviv, Bnei Sakhnin, 7, 3
04/12/16, LigaH,12, Bnei Yehuda T., Hapoel Tel-Aviv, 9, 5
29/11/16, TotoCup,, Hapoel Haifa, Hapoel Tel-Aviv, 1, 8
26/11/16, LigaH,11, Hapoel Raanana, Hapoel Tel-Aviv, 7, 1
21/11/16, LigaH,10, Beitar Jerusale, Hapoel Tel-Aviv, 7, 2
05/11/16, LigaH,9, MS Ashdod, Hapoel Tel-Aviv, 1, 5
29/10/16, LigaH,8, Hapoel Tel-Aviv, Hapoel Kfar Sab, 2, 4
26/10/16, TotoCup,, Hapoel Tel-Aviv, Hapoel Haifa, 1, 2
22/10/16, LigaH,7, Hapoel Haifa, Hapoel Tel-Aviv, 6, 8
01/10/16, LigaH,6, Hapoel Tel-Aviv, Hapoel Ashkelon, 9, 5
25/09/16, LigaH,5, Maccabi Tel Avi, Hapoel Tel-Aviv, 6, 5
