=============real-madrid=================
10/05/17, UEFACL,, Atletico Madrid, Real Madrid, ?, ?
06/05/17, PrimD,36, Granada, Real Madrid, ?, ?
02/05/17, UEFACL,, Real Madrid, Atletico Madrid, 9, 3
29/04/17, PrimD,35, Real Madrid, Valencia, 2, 3
26/04/17, PrimD,34, D Coruna, Real Madrid, 4, 5
23/04/17, PrimD,33, Real Madrid, Barcelona, 7, 4
18/04/17, UEFACL,, Real Madrid, Bayern Munich, 6, 7
15/04/17, PrimD,32, Sporting Gijon, Real Madrid, 4, 8
12/04/17, UEFACL,, Bayern Munich, Real Madrid, 8, 4
08/04/17, PrimD,31, Real Madrid, Atletico Madrid, 6, 2
05/04/17, PrimD,30, Leganes, Real Madrid, 4, 4
02/04/17, PrimD,29, Real Madrid, CD Alaves, 3, 3
18/03/17, PrimD,28, Athletic Bilbao, Real Madrid, 5, 5
12/03/17, PrimD,27, Real Madrid, Real Betis, 8, 4
07/03/17, UEFACL,, Napoli, Real Madrid, 9, 4
04/03/17, PrimD,26, Eibar, Real Madrid, 4, 4
01/03/17, PrimD,25, Real Madrid, Las Palmas, 7, 4
26/02/17, PrimD,24, Villarreal, Real Madrid, 5, 5
22/02/17, PrimD,16, Valencia, Real Madrid, 3, 11
18/02/17, PrimD,23, Real Madrid, Espanyol, 13, 2
15/02/17, UEFACL,, Real Madrid, Napoli, 5, 1
11/02/17, PrimD,22, Osasuna, Real Madrid, 3, 2
29/01/17, PrimD,20, Real Madrid, Real Sociedad, 0, 3
25/01/17, Copa,, Celta Vigo, Real Madrid, 4, 6
21/01/17, PrimD,19, Real Madrid, Malaga, 5, 4
18/01/17, Copa,, Real Madrid, Celta Vigo, 6, 1
15/01/17, PrimD,18, Sevilla, Real Madrid, 6, 1
12/01/17, Copa,, Sevilla, Real Madrid, 7, 7
07/01/17, PrimD,17, Real Madrid, Granada, 9, 1
04/01/17, Copa,, Real Madrid, Sevilla, 2, 6
18/12/16, FIFA,, Real Madrid, Kashima Antlers, 13, 4
15/12/16, FIFA,, Club America, Real Madrid, 2, 4
10/12/16, PrimD,15, Real Madrid, D Coruna, 10, 3
07/12/16, UEFACL,6, Real Madrid, Borussia Dortmu, 6, 5
03/12/16, PrimD,14, Barcelona, Real Madrid, 5, 7
30/11/16, Copa,, Real Madrid, Dep. Leonesa, 3, 1
26/11/16, PrimD,13, Real Madrid, Sporting Gijon, 5, 6
22/11/16, UEFACL,5, Sporting, Real Madrid, 2, 8
19/11/16, PrimD,12, Atletico Madrid, Real Madrid, 8, 6
06/11/16, PrimD,11, Real Madrid, Leganes, 2, 2
02/11/16, UEFACL,4, Legia Warsaw, Real Madrid, 2, 7
29/10/16, PrimD,10, CD Alaves, Real Madrid, 4, 3
26/10/16, Copa,, Dep. Leonesa, Real Madrid, 2, 6
23/10/16, PrimD,9, Real Madrid, Athletic Bilbao, 6, 4
18/10/16, UEFACL,3, Real Madrid, Legia Warsaw, 9, 3
15/10/16, PrimD,8, Real Betis, Real Madrid, 2, 5
02/10/16, PrimD,7, Real Madrid, Eibar, 7, 5
27/09/16, UEFACL,2, Borussia Dortmu, Real Madrid, 6, 6
24/09/16, PrimD,6, Las Palmas, Real Madrid, 0, 5
21/09/16, PrimD,5, Real Madrid, Villarreal, 17, 3
18/09/16, PrimD,4, Espanyol, Real Madrid, 4, 5
14/09/16, UEFACL,1, Real Madrid, Sporting, 5, 2
10/09/16, PrimD,3, Real Madrid, Osasuna, 6, 7
27/08/16, PrimD,2, Real Madrid, Celta Vigo, 7, 2
21/08/16, PrimD,1, Real Sociedad, Real Madrid, 4, 7
16/08/16, Friend,, Real Madrid, Reims, 10, 1
09/08/16, UEFA SC,, Real Madrid, Sevilla, 8, 2
03/08/16, IntCup,3, Bayern Munich, Real Madrid, 2, 1
30/07/16, IntCup,2, Real Madrid, Chelsea, 2, 3
27/07/16, IntCup,1, Real Madrid, PSG, 3, 2
28/05/16, UEFACL,, Real Madrid, Atletico Madrid, 4, 2
14/05/16, PrimD,38, D Coruna, Real Madrid, 4, 8
08/05/16, PrimD,37, Real Madrid, Valencia, 5, 8
04/05/16, UEFACL,, Real Madrid, Man City, 5, 3
30/04/16, PrimD,36, Real Sociedad, Real Madrid, 6, 6
26/04/16, UEFACL,, Man City, Real Madrid, 4, 6
23/04/16, PrimD,35, Rayo Vallecano, Real Madrid, 4, 6
20/04/16, PrimD,34, Real Madrid, Villarreal, 11, 1
16/04/16, PrimD,33, Getafe, Real Madrid, 5, 6
12/04/16, UEFACL,, Real Madrid, Wolfsburg, 12, 4
09/04/16, PrimD,32, Real Madrid, Eibar, 6, 7
06/04/16, UEFACL,, Wolfsburg, Real Madrid, 1, 6
02/04/16, PrimD,31, Barcelona, Real Madrid, 4, 3
20/03/16, PrimD,30, Real Madrid, Sevilla, 8, 8
13/03/16, PrimD,29, Las Palmas, Real Madrid, 6, 5
08/03/16, UEFACL,, Real Madrid, Roma, 11, 7
05/03/16, PrimD,28, Real Madrid, Celta Vigo, 10, 5
02/03/16, PrimD,27, Levante, Real Madrid, 3, 10
27/02/16, PrimD,26, Real Madrid, Atletico Madrid, 2, 5
21/02/16, PrimD,25, Malaga, Real Madrid, 6, 6
17/02/16, UEFACL,, Roma, Real Madrid, 7, 5
13/02/16, PrimD,24, Real Madrid, Athletic Bilbao, 5, 2
07/02/16, PrimD,23, Granada, Real Madrid, 3, 6
31/01/16, PrimD,22, Real Madrid, Espanyol, 3, 1
24/01/16, PrimD,21, Real Betis, Real Madrid, 1, 9
17/01/16, PrimD,20, Real Madrid, Sporting Gijon, 4, 4
09/01/16, PrimD,19, Real Madrid, D Coruna, 5, 9
03/01/16, PrimD,18, Valencia, Real Madrid, 4, 7
30/12/15, PrimD,17, Real Madrid, Real Sociedad, 13, 2
20/12/15, PrimD,16, Real Madrid, Rayo Vallecano, 10, 4
13/12/15, PrimD,15, Villarreal, Real Madrid, 3, 9
08/12/15, UEFACL,6, Real Madrid, Malmö FF, 5, 3
05/12/15, PrimD,14, Real Madrid, Getafe, 3, 4
02/12/15, Copa,, Cádiz CF, Real Madrid, 6, 7
29/11/15, PrimD,13, Eibar, Real Madrid, 6, 5
25/11/15, UEFACL,5, Shakhtar D, Real Madrid, 3, 4
21/11/15, PrimD,12, Real Madrid, Barcelona, 10, 3
08/11/15, PrimD,11, Sevilla, Real Madrid, 4, 6
03/11/15, UEFACL,4, Real Madrid, PSG, 5, 3
31/10/15, PrimD,10, Real Madrid, Las Palmas, 6, 3
24/10/15, PrimD,9, Celta Vigo, Real Madrid, 5, 7
21/10/15, UEFACL,3, PSG, Real Madrid, 4, 9
17/10/15, PrimD,8, Real Madrid, Levante, 4, 4
04/10/15, PrimD,7, Atletico Madrid, Real Madrid, 5, 1
30/09/15, UEFACL,2, Malmö FF, Real Madrid, 1, 7
26/09/15, PrimD,6, Real Madrid, Malaga, 12, 6
23/09/15, PrimD,5, Athletic Bilbao, Real Madrid, 6, 8
19/09/15, PrimD,4, Real Madrid, Granada, 10, 1
15/09/15, UEFACL,1, Real Madrid, Shakhtar D, 6, 2
12/09/15, PrimD,3, Espanyol, Real Madrid, 5, 6
29/08/15, PrimD,2, Real Madrid, Real Betis, 11, 4
23/08/15, PrimD,1, Sporting Gijon, Real Madrid, 2, 5
18/08/15, Friend,, Real Madrid, Galatasaray, 5, 4
09/08/15, Friend,, Vålerenga, Real Madrid, 2, 9
30/07/15, IntCup,3, Real Madrid, AC Milan, 9, 6
27/07/15, IntCup,2, Inter Milan, Real Madrid, 5, 10
24/07/15, IntCup,1, Man City, Real Madrid, 2, 5
18/07/15, IntCup,3, Real Madrid, Roma, 5, 6
23/05/15, PrimD,38, Real Madrid, Getafe, 8, 7
17/05/15, PrimD,37, Espanyol, Real Madrid, 2, 5
13/05/15, UEFACL,, Real Madrid, Juventus, 8, 6
09/05/15, PrimD,36, Real Madrid, Valencia, 12, 9
05/05/15, UEFACL,, Juventus, Real Madrid, 1, 5
02/05/15, PrimD,35, Sevilla, Real Madrid, 8, 1
29/04/15, PrimD,34, Real Madrid, Almeria, 10, 4
26/04/15, PrimD,33, Celta Vigo, Real Madrid, 5, 4
22/04/15, UEFACL,, Real Madrid, Atletico Madrid, 10, 4
18/04/15, PrimD,32, Real Madrid, Malaga, 4, 3
14/04/15, UEFACL,, Atletico Madrid, Real Madrid, 7, 5
11/04/15, PrimD,31, Real Madrid, Eibar, 7, 4
08/04/15, PrimD,30, Rayo Vallecano, Real Madrid, 8, 1
05/04/15, PrimD,29, Real Madrid, Granada, 10, 1
22/03/15, PrimD,28, Barcelona, Real Madrid, 7, 11
15/03/15, PrimD,27, Real Madrid, Levante, 10, 4
10/03/15, UEFACL,, Real Madrid, Schalke, 5, 7
07/03/15, PrimD,26, Athletic Bilbao, Real Madrid, 1, 8
01/03/15, PrimD,25, Real Madrid, Villarreal, 10, 4
22/02/15, PrimD,24, Elche, Real Madrid, 1, 6
18/02/15, UEFACL,, Schalke, Real Madrid, 2, 2
14/02/15, PrimD,23, Real Madrid, D Coruna, 6, 6
07/02/15, PrimD,22, Atletico Madrid, Real Madrid, 2, 3
04/02/15, PrimD,16, Real Madrid, Sevilla, 4, 6
31/01/15, PrimD,21, Real Madrid, Real Sociedad, 10, 3
24/01/15, PrimD,20, Cordoba, Real Madrid, 3, 9
18/01/15, PrimD,19, Getafe, Real Madrid, 7, 8
15/01/15, Copa,, Real Madrid, Atletico Madrid, 10, 4
10/01/15, PrimD,18, Real Madrid, Espanyol, 7, 2
07/01/15, Copa,, Atletico Madrid, Real Madrid, 3, 8
04/01/15, PrimD,17, Valencia, Real Madrid, 3, 11
30/12/14, Friend,, Real Madrid, AC Milan, 9, 4
20/12/14, FIFA,, Real Madrid, San Lorenzo, 5, 3
16/12/14, FIFA,, Cruz Azul, Real Madrid, 6, 5
12/12/14, PrimD,15, Almeria, Real Madrid, 2, 8
09/12/14, UEFACL,6, Real Madrid, Ludogorets Razg, 17, 3
06/12/14, PrimD,14, Real Madrid, Celta Vigo, 8, 7
02/12/14, Copa,, Real Madrid, UE Cornellà, 6, 5
29/11/14, PrimD,13, Malaga, Real Madrid, 5, 6
26/11/14, UEFACL,5, Basel, Real Madrid, 6, 6
22/11/14, PrimD,12, Eibar, Real Madrid, 4, 2
08/11/14, PrimD,11, Real Madrid, Rayo Vallecano, 4, 6
04/11/14, UEFACL,4, Real Madrid, Liverpool, 7, 1
01/11/14, PrimD,10, Granada, Real Madrid, 3, 4
29/10/14, Copa,, UE Cornellà, Real Madrid, 1, 12
25/10/14, PrimD,9, Real Madrid, Barcelona, 3, 9
22/10/14, UEFACL,3, Liverpool, Real Madrid, 9, 5
18/10/14, PrimD,8, Levante, Real Madrid, 6, 3
05/10/14, PrimD,7, Real Madrid, Athletic Bilbao, 8, 7
01/10/14, UEFACL,2, Ludogorets Razg, Real Madrid, 8, 7
27/09/14, PrimD,6, Villarreal, Real Madrid, 7, 6
23/09/14, PrimD,5, Real Madrid, Elche, 8, 2
20/09/14, PrimD,4, D Coruna, Real Madrid, 2, 3
16/09/14, UEFACL,1, Real Madrid, Basel, 7, 2
13/09/14, PrimD,3, Real Madrid, Atletico Madrid, 4, 4
31/08/14, PrimD,2, Real Sociedad, Real Madrid, 8, 6
25/08/14, PrimD,1, Real Madrid, Cordoba, 8, 5
22/08/14, SupCup,, Atletico Madrid, Real Madrid, 5, 9
19/08/14, SupCup,, Real Madrid, Atletico Madrid, 10, 7
16/08/14, Friend,, Real Madrid, Fiorentina, 3, 7
12/08/14, UEFA SC,, Real Madrid, Sevilla, 12, 8
02/08/14, IntCup,3, Man Utd, Real Madrid, 3, 6
30/07/14, IntCup,2, Real Madrid, Roma, 3, 0
26/07/14, IntCup,1, Real Madrid, Inter Milan, 4, 3
24/05/14, UEFACL,, Real Madrid, Atletico Madrid, 9, 9
17/05/14, PrimD,38, Real Madrid, Espanyol, 8, 7
11/05/14, PrimD,37, Celta Vigo, Real Madrid, 4, 15
07/05/14, PrimD,34, Valladolid, Real Madrid, 4, 9
04/05/14, PrimD,36, Real Madrid, Valencia, 10, 1
29/04/14, UEFACL,, Bayern Munich, Real Madrid, 9, 3
26/04/14, PrimD,35, Real Madrid, Osasuna, 7, 7
23/04/14, UEFACL,, Real Madrid, Bayern Munich, 3, 15
16/04/14, Copa,, Barcelona, Real Madrid, 7, 5
12/04/14, PrimD,33, Real Madrid, Almeria, 9, 7
08/04/14, UEFACL,, Borussia Dortmu, Real Madrid, 4, 2
05/04/14, PrimD,32, Real Sociedad, Real Madrid, 7, 8
02/04/14, UEFACL,, Real Madrid, Borussia Dortmu, 6, 7
29/03/14, PrimD,31, Real Madrid, Rayo Vallecano, 4, 6
25/03/14, PrimD,30, Sevilla, Real Madrid, 2, 9
22/03/14, PrimD,29, Real Madrid, Barcelona, 1, 5
18/03/14, UEFACL,, Real Madrid, Schalke, 9, 2
15/03/14, PrimD,28, Malaga, Real Madrid, 7, 6
08/03/14, PrimD,27, Real Madrid, Levante, 12, 2
02/03/14, PrimD,26, Atletico Madrid, Real Madrid, 6, 4
26/02/14, UEFACL,, Schalke, Real Madrid, 1, 7
22/02/14, PrimD,25, Real Madrid, Elche, 9, 1
15/02/14, PrimD,24, Getafe, Real Madrid, 8, 10
11/02/14, Copa,, Atletico Madrid, Real Madrid, 4, 2
08/02/14, PrimD,23, Real Madrid, Villarreal, 6, 3
05/02/14, Copa,, Real Madrid, Atletico Madrid, 7, 4
02/02/14, PrimD,22, Athletic Bilbao, Real Madrid, 6, 3
28/01/14, Copa,, Real Madrid, Espanyol, 8, 5
25/01/14, PrimD,21, Real Madrid, Granada, 4, 1
21/01/14, Copa,, Espanyol, Real Madrid, 8, 6
18/01/14, PrimD,20, Real Betis, Real Madrid, 0, 7
15/01/14, Copa,, Osasuna, Real Madrid, 6, 5
12/01/14, PrimD,19, Espanyol, Real Madrid, 3, 8
09/01/14, Copa,, Real Madrid, Osasuna, 7, 2
06/01/14, PrimD,18, Real Madrid, Celta Vigo, 12, 9
02/01/14, Friend,, PSG, Real Madrid, 13, 7
22/12/13, PrimD,17, Valencia, Real Madrid, 3, 6
18/12/13, Copa,, Real Madrid, Olímpic de X., 3, 2
14/12/13, PrimD,16, Osasuna, Real Madrid, 5, 6
10/12/13, UEFACL,6, FC Copenhagen, Real Madrid, 4, 8
07/12/13, Copa,, Olímpic de X., Real Madrid, 3, 1
30/11/13, PrimD,15, Real Madrid, Valladolid, 9, 1
27/11/13, UEFACL,5, Real Madrid, Galatasaray, 1, 2
23/11/13, PrimD,14, Almeria, Real Madrid, 1, 6
09/11/13, PrimD,13, Real Madrid, Real Sociedad, 2, 7
05/11/13, UEFACL,4, Juventus, Real Madrid, 7, 3
01/11/13, PrimD,12, Rayo Vallecano, Real Madrid, 6, 1
30/10/13, PrimD,11, Real Madrid, Sevilla, 1, 1
26/10/13, PrimD,10, Barcelona, Real Madrid, 4, 3
